name;code;active;region_id;created_at;updated_at
Covarachía;15218;1;5;2021-04-02;2021-04-02
Coveñas;70221;1;22;2021-04-02;2021-04-02
Coyaima;73217;1;23;2021-04-02;2021-04-02
Cravo Norte;81220;1;25;2021-04-02;2021-04-02
Cuaspud (Carlosama);52224;1;17;2021-04-02;2021-04-02
Cubarral;50223;1;16;2021-04-02;2021-04-02
Cubará;15223;1;5;2021-04-02;2021-04-02
Cucaita;15224;1;5;2021-04-02;2021-04-02
Cucunubá;25224;1;11;2021-04-02;2021-04-02
Cucutilla;54223;1;18;2021-04-02;2021-04-02
Cuitiva;15226;1;5;2021-04-02;2021-04-02
Cumaral;50226;1;16;2021-04-02;2021-04-02
Cumaribo;99773;1;33;2021-04-02;2021-04-02
Cumbal;52227;1;17;2021-04-02;2021-04-02
Cumbitara;52233;1;17;2021-04-02;2021-04-02
Cunday;73226;1;23;2021-04-02;2021-04-02
Curillo;18205;1;7;2021-04-02;2021-04-02
Curití;68229;1;21;2021-04-02;2021-04-02
Curumaní;20228;1;9;2021-04-02;2021-04-02
Cáceres;05120;1;1;2021-04-02;2021-04-02
Cáchira;54128;1;18;2021-04-02;2021-04-02
Cácota;54125;1;18;2021-04-02;2021-04-02
Cáqueza;25151;1;11;2021-04-02;2021-04-02
Cértegui;27160;1;12;2021-04-02;2021-04-02
Cómbita;15204;1;5;2021-04-02;2021-04-02
Córdoba;13212;1;4;2021-04-02;2021-04-02
Córdoba;52215;1;17;2021-04-02;2021-04-02
Cúcuta;54001;1;18;2021-04-02;2021-04-02
Dabeiba;05234;1;1;2021-04-02;2021-04-02
Dagua;76233;1;24;2021-04-02;2021-04-02
Dibulla;44090;1;14;2021-04-02;2021-04-02
Distracción;44098;1;14;2021-04-02;2021-04-02
Dolores;73236;1;23;2021-04-02;2021-04-02
Don Matías;05237;1;1;2021-04-02;2021-04-02
Dos Quebradas;66170;1;20;2021-04-02;2021-04-02
Duitama;15238;1;5;2021-04-02;2021-04-02
Durania;54239;1;18;2021-04-02;2021-04-02
Ebéjico;05240;1;1;2021-04-02;2021-04-02
El Bagre;05250;1;1;2021-04-02;2021-04-02
El Banco;47245;1;15;2021-04-02;2021-04-02
El Cairo;76246;1;24;2021-04-02;2021-04-02
El Calvario;50245;1;16;2021-04-02;2021-04-02
El Carmen;54245;1;18;2021-04-02;2021-04-02
El Carmen de Chucurí;68235;1;21;2021-04-02;2021-04-02
El Carmen de Atrato;27245;1;12;2021-04-02;2021-04-02
El Carmen de Bolívar;13244;1;4;2021-04-02;2021-04-02
El Castillo;50251;1;16;2021-04-02;2021-04-02
El Cerrito;76248;1;24;2021-04-02;2021-04-02
El Charco;52250;1;17;2021-04-02;2021-04-02
El Cocuy;15244;1;5;2021-04-02;2021-04-02
El Colegio;25245;1;11;2021-04-02;2021-04-02
El Copey;20238;1;9;2021-04-02;2021-04-02
El Doncello;18247;1;7;2021-04-02;2021-04-02
El Dorado;50270;1;16;2021-04-02;2021-04-02
El Dovio;76250;1;24;2021-04-02;2021-04-02
El Espino;15248;1;5;2021-04-02;2021-04-02
El Guacamayo;68245;1;21;2021-04-02;2021-04-02
El Guamo;13248;1;4;2021-04-02;2021-04-02
El Molino;44110;1;14;2021-04-02;2021-04-02
El Paso;20250;1;9;2021-04-02;2021-04-02
El Paujil;18256;1;7;2021-04-02;2021-04-02
El Peñol;52254;1;17;2021-04-02;2021-04-02
El Peñon;13268;1;4;2021-04-02;2021-04-02
El Peñon;68250;1;21;2021-04-02;2021-04-02
El Peñón;25258;1;11;2021-04-02;2021-04-02
El Piñon;47258;1;15;2021-04-02;2021-04-02
El Playón;68255;1;21;2021-04-02;2021-04-02
El Retorno;95025;1;31;2021-04-02;2021-04-02
El Retén;47268;1;15;2021-04-02;2021-04-02
El Roble;70233;1;22;2021-04-02;2021-04-02
El Rosal;25260;1;11;2021-04-02;2021-04-02
El Rosario;52256;1;17;2021-04-02;2021-04-02
El Tablón de Gómez;52258;1;17;2021-04-02;2021-04-02
El Tambo;19256;1;8;2021-04-02;2021-04-02
El Tambo;52260;1;17;2021-04-02;2021-04-02
El Tarra;54250;1;18;2021-04-02;2021-04-02
El Zulia;54261;1;18;2021-04-02;2021-04-02
El Águila;76243;1;24;2021-04-02;2021-04-02
Elías;41244;1;13;2021-04-02;2021-04-02
Encino;68264;1;21;2021-04-02;2021-04-02
Enciso;68266;1;21;2021-04-02;2021-04-02
Entrerríos;05264;1;1;2021-04-02;2021-04-02
Envigado;05266;1;1;2021-04-02;2021-04-02
Espinal;73268;1;23;2021-04-02;2021-04-02
Facatativá;25269;1;11;2021-04-02;2021-04-02
Falan;73270;1;23;2021-04-02;2021-04-02
Filadelfia;17272;1;6;2021-04-02;2021-04-02
Filandia;63272;1;19;2021-04-02;2021-04-02
Firavitoba;15272;1;5;2021-04-02;2021-04-02
Flandes;73275;1;23;2021-04-02;2021-04-02
Florencia;18001;1;7;2021-04-02;2021-04-02
Florencia;19290;1;8;2021-04-02;2021-04-02
Floresta;15276;1;5;2021-04-02;2021-04-02
Florida;76275;1;24;2021-04-02;2021-04-02
Floridablanca;68276;1;21;2021-04-02;2021-04-02
Florián;68271;1;21;2021-04-02;2021-04-02
Fonseca;44279;1;14;2021-04-02;2021-04-02
Fortúl;81300;1;25;2021-04-02;2021-04-02
Fosca;25281;1;11;2021-04-02;2021-04-02
Francisco Pizarro;52520;1;17;2021-04-02;2021-04-02
Fredonia;05282;1;1;2021-04-02;2021-04-02
Fresno;73283;1;23;2021-04-02;2021-04-02
Frontino;05284;1;1;2021-04-02;2021-04-02
Fuente de Oro;50287;1;16;2021-04-02;2021-04-02
Fundación;47288;1;15;2021-04-02;2021-04-02
Funes;52287;1;17;2021-04-02;2021-04-02
Funza;25286;1;11;2021-04-02;2021-04-02
Fusagasugá;25290;1;11;2021-04-02;2021-04-02
Fómeque;25279;1;11;2021-04-02;2021-04-02
Fúquene;25288;1;11;2021-04-02;2021-04-02
